,NAME,Lon,Lat,Area,Native,Novel,Extinct,S1,S2,LRR,Level,Subregion,Eurovoc,data_set,scale_unit,source
1,Austria,14.1265,47.5855,83858,2943,155,32,2975,3098,0.040512702997084,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
2,Baltic,21.9261,57.1224,175015,1208,396,15,1223,1604,0.271193652739287,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
3,Belgium,4.6406,50.6399,30510,1378,425,53,1431,1803,0.231078443646866,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
4,Bulgaria,25.2155,42.7689,110994,2957,548,30,2987,3505,0.159920981252581,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
5,Czechoslovakia,15.3124,49.7334,78866,2503,272,87,2590,2775,0.068992871486951,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
6,Denmark,10.028,55.9812,44493,1104,757,22,1126,1861,0.502442447942615,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
7,Finland,26.2747,64.4989,338145,1078,816,7,1085,1894,0.557111007771464,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
8,France,2.5362,46.187,551394,4395,1236,23,4418,5631,0.242599941274556,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
9,Germany,10.3858,51.107,357376,2656,415,38,2694,3071,0.130976163470513,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
10,Greece,22.9555,39.0747,131940,3990,260,9,3999,4250,0.060874653071644,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
11,Hungary,19.3956,47.1628,93030,2678,159,41,2719,2837,0.042482990176381,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
12,Iceland,-18.574,64.9958,102775,429,80,1,430,509,0.168662807862915,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
13,Ireland,-8.138,53.1754,70273,1022,320,12,1034,1342,0.260726262463253,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
14,Italy,12.07,42.7967,301318,4674,461,15,4689,5135,0.090860503273072,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
15,Netherlands,5.2815,52.1008,41198,4541,225,45,4586,4766,0.038499194240838,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
16,Norway,15.3483,68.7501,385178,1340,598,15,1355,1938,0.35785505913691,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
17,Poland,19.3901,52.1276,312685,2153,125,41,2194,2278,0.037571503171952,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
18,Portugal,-8.501,39.5955,91568,2367,297,6,2373,2664,0.115673775224516,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
19,Romania,24.9729,45.8524,238392,3123,100,61,3184,3223,0.012174334851164,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
20,Spain,-3.6475,40.2445,498468,1501,498,18,1519,1999,0.274594831904627,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
21,Sweden,16.7437,62.7923,449964,1475,823,20,1495,2298,0.429912972583914,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
22,Switzerland,8.2087,46.7979,41290,2023,244,41,2064,2267,0.093811523906076,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
23,United Kingdom,-2.8656,54.1239,244820,1625,1133,24,1649,2758,0.514336735793648,Country,NA,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
24,NA,21.047,53.4206,175015,1208,396,15,1223,1604,0.271193652739287,Subregion,Baltic,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
25,NA,5.32,53.8375,315093,1702,1105,24,1726,2807,0.486309704718509,Subregion,British Iles,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
26,NA,14.3675,49.708,1105626,7067,1102,31,7098,8169,0.140533448135428,Subregion,Central,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
27,NA,46.7112,61.9269,391551,2891,260,52,2943,3151,0.068290393523802,Subregion,East North,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
28,NA,41.9651,49.1363,442416,4936,336,46,4982,5272,0.056578380360217,Subregion,East South,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
29,NA,5.6715,40.8278,590036,3122,625,20,3142,3747,0.176095979978121,Subregion,Iberia,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
30,NA,18.0589,39.4844,433258,6340,529,21,6361,6869,0.076832937535077,Subregion,Mediterranean,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
31,NA,16.1253,64.157,1320555,1799,944,14,1813,2743,0.414069280182752,Subregion,Scandanavia,NA,European plants,km^2,"Essl et al. 2013, https://doi.org/10.1016/j.biocon.2013.04.005"
